word,count
известия,39
знакомых,39
душу,39
видите,39
взгляда,39
верст,39
бежали,39
Мира,39
Жерков,39
Долоховым,39
été,39
par,39
fait,39
avec,39
час,38
целый,38
хороша,38
холодно,38
французам,38
сыну,38
смысл,38
ряды,38
рублей,38
ребенок,38
прибавила,38
полковой,38
пожалуста,38
первой,38
отъезда,38
ожидал,38
молчал,38
месяца,38
казались,38
каждом,38
кабинета,38
желала,38
дети,38
готов,38
гости,38
горы,38
вовсе,38
вина,38
ваша,38
бумаги,38
боюсь,38
большого,38
болезни,38
августа,38
Тушина,38
Ростовы,38
Михаил,38
Дрон,38
черными,37
трудом,37
старому,37
солнце,37
сказано,37
силой,37
сделано,37
русским,37
речь,37
ранен,37
прокричал,37
продолжение,37
предложение,37
полкового,37
плечо,37
передал,37
п,37
отношение,37
обедом,37
неподвижно,37
мою,37
лежала,37
князе,37
историю,37
исторические,37
ибо,37
засмеялся,37
едет,37
думает,37
делах,37
графом,37
города,37
высокий,37
волосы,37
видит,37
взяла,37
взглянула,37
вещей,37
будем,37
большим,37
бале,37
Однако,37
Между,37
Денисову,37
Безухов,37
moscou,37
чаще,36
хочется,36
усилия,36
удовольствия,36
удержать,36
старой,36
старика,36
становилось,36
совета,36
романа,36
радость,36
пошли,36
поняла,36
плечи,36
ответа,36
остаться,36
остановиться,36
оставить,36
наша,36
нахмурившись,36
направлению,36
молодые,36
масс,36
колонны,36
какою,36
казаки,36
имела,36
знак,36
затем,36
желания,36
дым,36
графиню,36
голове,36
глава,36
всякую,36
встала,36
врага,36
вошли,36
вон,36
внимательно,36
великого,36
бывало,36
батареи,36
Французы,36
Уж,36
Николинька,36
Люди,36
Курагина,36
Император,36
Впереди,36
grand,36
чорт,35
характер,35
упал,35
умел,35
ум,35
удовольствием,35
увидала,35
темноте,35
собак,35
редко,35
рассказ,35
рано,35
приехать,35
представлялось,35
послал,35
поскорее,35
показать,35
передней,35
оставаться,35
носом,35
новый,35
новая,35
нескольких,35
недели,35
начальника,35
малый,35
лично,35
левой,35
конец,35
кое,35
княгини,35
каких,35
имя,35
земле,35
законы,35
женою,35
жениться,35
ждать,35
дядюшка,35
драться,35
добродетели,35
губами,35
высших,35
второй,35
верить,35
велено,35
больших,35
блестящими,35
Этот,35
Чем,35
Сперанского,35
Смоленска,35
Какой,35
Другой,35
Было,35
suis,35
